,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ъ,Ы,Ь,Э,Ю,Я
К,0.29835701735458214,1.541259517277519e-05,0.01439536389137203,6.165038069110076e-05,0.00027742671310995346,0.017231281403162664,0.0006935667827748836,0.0002003637372460775,0.10180019111618015,0.0,0.0005240282358743566,0.015505070743811843,0.00024660152276440305,0.06087975093246201,0.3415739342190438,6.165038069110076e-05,0.0634382417311427,0.0044850651952775804,0.018787953515612958,0.05967756850898554,1.541259517277519e-05,3.082519034555038e-05,0.0004161400696649302,0.0007243919731204341,0.000323664498628279,0.0,0.0,0.0,3.082519034555038e-05,0.0,0.00024660152276440305,0.0
Л,0.1909742600821665,0.000639305776808921,0.00016768676113020878,0.0035738240965875745,0.007053324390039407,0.11614404292781084,0.010218412006372097,0.00013624549341829462,0.17885889159050894,0.0,0.015207093149995807,0.0027144294457952544,0.00016768676113020878,0.008038484111679383,0.1724029512869959,0.004999161566194349,0.0,0.03385176490316089,0.0011947681730527374,0.033170537436069424,0.00015720633855957072,0.00013624549341829462,1.0480422570638049e-05,0.005617506497861994,0.000220088873983399,7.336295799446634e-05,0.0,0.028747799111260165,0.10320072105307286,1.0480422570638049e-05,0.03055043179340991,0.05176280707638132
М,0.1538974156063225,0.0012911555842479018,4.1650180137029096e-05,0.0028322122493179783,0.00010412545034257273,0.15829150961077906,0.0,0.00014577563047960183,0.18103250796559694,2.0825090068514548e-05,0.0037276911222641038,0.006289177200691393,0.0012911555842479018,0.061683916782940086,0.19567254628376268,0.010475020304462818,0.002374060267810658,0.006539078281513568,0.00251983589829026,0.13400945459089111,0.0003540265311647473,2.0825090068514548e-05,0.0013744559445219601,0.0014161061246589892,0.0003540265311647473,0.00024990108082217455,0.0,0.04575272288052646,0.0019992086465773964,4.1650180137029096e-05,0.001645182115412649,0.02455278119077865
Н,0.2079320978675123,0.00018910191138393507,0.00047275477845983764,0.002014662671282693,0.01605184301632095,0.17516655514502663,0.0002836528670759026,0.00029092601751374626,0.15348529368981467,0.0,0.004014779041689698,6.545835394059291e-05,2.181945131353097e-05,0.05287580368312338,0.16971896546708173,0.00013818985831902947,0.001207342972682047,0.010051493905099932,0.008211386844325487,0.04380618508713234,0.00017455561050824775,0.0001163704070054985,0.011826142611933784,0.0034183807057865186,0.00040729642451924476,0.0022110377331044716,7.2731504378436564e-06,0.06271637622552585,0.01969569138568062,1.4546300875687313e-05,0.0027347045646292146,0.0506793122508946
О,5.3387691710347504e-05,0.04408852649970879,0.101227916909338,0.06252669384585517,0.06152688798291594,0.03144535041739468,0.02253931275480489,0.012361677344205008,0.01090564938846826,0.04801980198019802,0.020879440885264996,0.08851679285575616,0.0642593671131819,0.08697825664919433,0.0026354105998835178,0.01669093379926228,0.0819889341875364,0.09104542807221899,0.09157930498932246,0.0007911085226169676,0.004028344010871676,0.006721995728984663,0.0009464181712288876,0.017025820229081733,0.014293341098815764,0.0018928363424577752,0.0,0.0,0.0,0.0003057658707047175,0.006411376431760823,0.008313919627256843
П,0.052050942772080715,0.0,0.0,0.00039695666556400925,0.0,0.1100396956665564,0.0,0.0,0.03346013893483295,0.0,0.003126033741316573,0.03160767449553424,1.6539861065167053e-05,0.0031094938802514057,0.385047965597089,0.0018028448561032088,0.2783989414488918,0.0002150181938471717,0.0019186238835593782,0.02934171352960635,0.0007939133311280185,0.0,0.0005623552762156798,0.003688389017532253,0.00023155805491233874,8.269930532583527e-05,0.0,0.011660602050942772,0.03766126364538538,3.3079722130334106e-05,0.0,0.014753556070129011
Р,0.22656416826820414,0.004006385812920086,0.008022940117751136,0.007941592182463418,0.00920248517942304,0.1627162075592569,0.008714397567696736,0.000966006731541645,0.13908463235817495,0.0,0.006416318395818716,0.0020540353660148665,0.007799233295709913,0.017011886967043918,0.18194482576289112,0.0015964532300214555,0.00042707666026051675,0.0060705896708459165,0.014988357076761945,0.07807368089238685,0.0004372451521714814,0.0026031339292069593,0.0016066217219324202,0.001901507987350396,0.0076365374251344785,0.0012710614888705857,0.0,0.043378786492175345,0.02609235024353538,2.033698382192937e-05,0.0037826789908788627,0.027668466489734908
С,0.03448639527525838,0.0011161498980524502,0.043485903114673416,0.00046579483934472334,0.007259368628278141,0.07477325458763974,0.0005185263305912958,0.0007118751318287281,0.0348291499683611,0.0,0.11152710398650074,0.058751669830556144,0.022454826689165437,0.01839450186317936,0.06820818392744146,0.04072628840610279,0.006942979680798707,0.02017858398368839,0.26765626098572737,0.018631793573788934,0.00029881178373057724,0.004069113407860508,0.0005185263305912958,0.008006398087604585,0.001977430921746467,8.788581874428743e-06,0.0005185263305912958,0.008340364198832877,0.06917492793362863,8.788581874428743e-06,0.0027420375448217677,0.07321767559586585
Т,0.12127411585390703,0.0006113017466928576,0.05703037762146566,0.00026082207858895253,0.0033825363317004785,0.09613738802989673,8.150689955904767e-06,0.00013041103929447626,0.07645347178638671,0.0,0.008517471003920482,0.005509866410191622,0.0004971920873101908,0.021265150094955537,0.3233541719306539,0.001336713152768382,0.05782099454718842,0.019773573833024964,0.0023800014671241923,0.0312823480507625,0.00016301379911809534,0.00028527414845666685,0.0024289056068596206,0.0038960297989224786,4.89041397354286e-05,0.0003015755283684764,0.0008884252051936197,0.030923717692702687,0.12132301999364246,4.89041397354286e-05,0.0010758910741794294,0.01159028111729658
У,0.0008473839735790023,0.033373891882496086,0.0507561272379628,0.07267947158004519,0.10127324873978794,0.012015470189466365,0.07517816791239354,0.047040674430731795,0.0006952894142186686,0.004628020163393013,0.04582391795584912,0.0709195202503042,0.05705718755431949,0.016295845645750043,0.000499739266469668,0.0383278289588041,0.03363462541282809,0.0760690074743612,0.08026247175386755,0.00021727794194333392,0.0007170172084130019,0.01857726403615505,0.0004562836780810012,0.04382496088997045,0.042108465148618116,0.015557100643142708,0.0,0.0,0.0,0.000999478532939336,0.056209803580740486,0.003954458543368677
